ID;ISBN-01;ISBN-13;TITLE;ADDED_DATE;DESCRIPTION;PUBLICATION_DATE;AVAILABILITY;AUTHOR_ID;CATEGORY_ID;PUBLISHER_ID;LIBRARY_ID;BOOK_COVER
21;94-7728-703-5;833-94-7728-703-5;Księga przypadków Sherlocka Holmesa;2020-06-21;;2016;true;2;1;1;1;
22;93-4348-251-9;107-93-4348-251-9;Harry Potter i Kamień Filozoficzny;2020-06-23;;2016;true;1;2;3;1;
23;92-4383-994-2;712-92-4383-994-2;Zwiadowcy: Cesarz Nihon-Ja;2020-06-24;;2016;true;20;2;1;1;
24;92-1501-535-5;740-92-1501-535-5;Dlaczego nie Evans?;2020-06-24;;2016;false;5;3;4;1;
25;91-9845-807-1;752-91-9845-807-1;Taniec ze smokami – tom I;2020-06-25;;2011;true;17;2;1;1;
26;91-8687-514-1;541-91-8687-514-1;Harry Potter i Komnata Tajemnic;2020-06-26;;2011;true;1;2;2;1;
27;91-4835-450-8;180-91-4835-450-8;Jego ostatni ukłon;2020-06-26;;2011;true;2;1;3;1;
28;91-4694-882-3;510-91-4694-882-3;Futu.re;2020-06-27;;2011;false;21;7;4;1;
29;91-3077-228-2;851-91-3077-228-2;Zwiadowcy: Halt w niebezpieczeństwie;2020-06-28;;2018;true;20;2;4;1;
30;91-2088-867-8;422-91-2088-867-8;Sycylijczyk;2020-06-28;;2018;true;16;8;4;1;
31;90-7099-878-4;670-90-7099-878-4;Harry Potter i Kamień Filozoficzny;2020-06-28;;2018;false;1;2;2;1;
32;90-3646-918-6;963-90-3646-918-6;Mroczna Wieża II: Powołanie trójki;2020-06-29;;null;true;6;6;3;1;
33;89-3630-956-9;576-89-3630-956-9;Iliada;2020-06-29;;2018;false;19;12;1;1;
34;89-3104-544-3;582-89-3104-544-3;Zwiadowcy: Zaginiony książę;2020-06-30;;2011;true;20;2;2;1;
35;88-9036-341-1;410-88-9036-341-1;451 stopni Fahrenheita;2020-06-30;;2016;true;10;8;1;1;
36;88-8066-646-6;763-88-8066-646-6;Brak tchu;2020-07-01;;2014;true;13;8;1;1;
37;86-1617-429-3;175-86-1617-429-3;Nawałnica mieczy – Stal i śnieg;2020-07-02;;2011;true;17;2;3;1;
38;84-1514-975-9;544-84-1514-975-9;Folwark zwierzęcy;2020-07-03;;2011;false;13;8;1;1;
39;83-4472-872-5;627-83-4472-872-5;Mistrz i Małgorzata;2020-07-04;;2011;false;11;8;4;1;
40;83-3015-275-7;963-83-3015-275-7;Dopóki starczy świata;2020-07-06;;2011;true;5;3;3;1;
41;83-1253-285-6;735-83-1253-285-6;Harry Potter i Zakon Feniksa;2020-07-07;;2011;true;1;2;3;1;
42;82-8106-352-2;677-82-8106-352-2;Ostatni don;2020-07-08;;2011;false;16;8;3;1;
43;82-5374-782-7;498-82-5374-782-7;Harry Potter i Insygnia Śmierci;2020-07-08;;2011;true;1;2;4;1;
44;81-4206-774-3;851-81-4206-774-3;Zwiadowcy: Płonący Most;2020-07-11;;2017;false;20;2;4;1;
45;80-4775-814-8;609-80-4775-814-8;Harry Potter i Książę Półkrwi;2020-07-11;;2011;true;1;2;4;1;
46;79-6489-326-1;137-79-6489-326-1;Władca Pierścieni: Drużyna Pierścienia;2020-07-11;;2011;false;4;2;4;1;
47;79-3940-624-5;227-79-3940-624-5;Dziady cz. III;2020-07-13;;2017;true;18;11;4;1;
48;79-2013-616-6;464-79-2013-616-6;Konrad Wallenrod;2020-07-14;;2016;true;18;8;4;1;
49;78-5844-909-3;195-78-5844-909-3;Pan Lodowego Ogrodu - tom V;2020-07-14;;2016;false;7;2;4;1;
50;78-3360-837-1;824-78-3360-837-1;Znak czterech;2020-07-14;;2017;false;2;1;3;1;
51;78-3140-172-3;484-78-3140-172-3;Dziady cz. I;2020-07-16;;2017;true;18;11;3;1;
52;77-6586-396-5;385-77-6586-396-5;Na dnie w Paryżu i w Londynie;2020-07-16;;2016;true;13;8;3;1;
53;76-7708-219-7;290-76-7708-219-7;Futu.re;2020-07-16;;2016;false;21;7;1;1;
54;76-7653-733-6;633-76-7653-733-6;Uczta dla wron – Cienie śmierci;2020-07-17;;2017;true;17;2;3;1;
55;76-4439-100-7;185-76-4439-100-7;Dwanaście prac Herkulesa;2020-07-17;;2017;true;5;3;3;1;
56;76-4104-362-2;158-76-4104-362-2;Pan Lodowego Ogrodu - tom IV;2020-07-18;;2017;false;7;2;2;1;
57;76-3581-928-4;802-76-3581-928-4;Zwiadowcy: Ruiny Gorlanu;2020-07-18;;2017;true;20;2;4;1;
58;75-4568-646-5;929-75-4568-646-5;Pan Lodowego Ogrodu - tom III;2020-07-19;;2017;false;7;2;4;1;
59;75-1655-638-6;754-75-1655-638-6;Zwiadowcy: Czarnoksiężnik z Północy;2020-07-20;;2017;true;20;2;2;1;
60;74-5198-280-9;764-74-5198-280-9;Zwiadowcy: Cesarz Nihon-Ja;2020-07-20;;2017;true;20;2;4;1;
61;74-4065-658-3;552-74-4065-658-3;451 stopni Fahrenheita;2020-07-23;;2018;false;10;8;4;1;
62;73-3674-100-4;891-73-3674-100-4;Harry Potter i Czara Ognia;2020-07-23;;2017;true;1;2;2;1;
63;72-4927-627-4;386-72-4927-627-4;Pan Tadeusz, czyli ostatni Zajazd na Litwie;2020-07-24;;2017;false;18;12;3;1;
64;70-4427-518-7;427-70-4427-518-7;Studium w szkarłacie;2020-07-26;;2017;false;2;1;3;1;
65;69-8586-920-2;313-69-8586-920-2;Bastion;2020-07-26;;2010;false;6;6;1;1;
66;69-6812-164-5;829-69-6812-164-5;Nędznicy;2020-07-27;;2017;false;15;8;2;1;
67;69-3937-258-7;522-69-3937-258-7;Zwiadowcy: Czarnoksiężnik z Północy;2020-07-28;;2017;true;20;2;2;1;
68;69-2109-677-1;680-69-2109-677-1;Taniec ze smokami – tom II;2020-07-28;;2017;true;17;2;3;1;
69;69-2046-113-9;429-69-2046-113-9;Konfederaci barscy;2020-07-28;;2017;false;18;11;3;1;
70;68-9498-381-1;612-68-9498-381-1;Dziady cz. I;2020-07-29;;2017;false;18;11;3;1;
71;68-8363-403-1;457-68-8363-403-1;Dziady cz. II;2020-07-31;;2019;false;18;11;3;1;
72;67-6107-395-2;712-67-6107-395-2;Zwiadowcy: Ziemia skuta lodem;2020-07-31;;2017;true;20;2;4;1;
73;67-5896-850-3;502-67-5896-850-3;Odyseja;2020-07-31;;2017;true;19;12;1;1;
74;67-5160-546-2;705-67-5160-546-2;Zwiadowcy: Halt w niebezpieczeństwie;2020-08-01;;2019;true;20;2;4;1;
75;67-3285-555-9;549-67-3285-555-9;Pan Tadeusz, czyli ostatni Zajazd na Litwie;2020-08-02;;2019;true;18;12;4;1;
76;66-7774-735-5;200-66-7774-735-5;Uczta dla wron – Sieć spisków;2020-08-03;;2019;true;17;2;1;1;
77;66-6189-336-6;379-66-6189-336-6;Silmarilllion;2020-08-07;;2019;true;4;2;2;1;
78;66-4345-332-3;107-66-4345-332-3;Czwarta po północy;2020-08-09;;2019;true;6;6;3;1;
79;66-3972-791-9;506-66-3972-791-9;Iliada;2020-08-09;;2019;true;19;12;4;1;
80;66-3148-496-2;841-66-3148-496-2;Zwiadowcy: Płonący Most;2020-08-10;;2019;true;20;2;3;1;
81;65-5733-303-9;190-65-5733-303-9;Strzeż się starych książek;2020-08-10;;2019;true;14;10;1;1;
82;65-4757-211-6;621-65-4757-211-6;Dlaczego nie Evans?;2020-08-12;;2019;true;5;3;4;1;
83;65-4251-536-1;415-65-4251-536-1;Dom zbrodni;2020-08-13;;2019;true;5;3;3;1;
84;65-4090-178-7;159-65-4090-178-7;Silmarilllion;2020-08-14;;2019;true;4;2;3;1;
85;64-7323-760-6;801-64-7323-760-6;Ostatni don;2020-08-15;;2019;true;16;8;2;1;
86;64-6557-114-4;762-64-6557-114-4;Zwiadowcy: Zaginione historie;2020-08-17;;2019;true;20;2;4;1;
87;64-5905-795-2;364-64-5905-795-2;Ojciec chrzestny;2020-08-17;;2019;false;16;8;4;1;
88;64-3618-668-9;965-64-3618-668-9;Głupcy umierają;2020-08-19;;2019;false;16;8;4;1;
89;64-2192-115-6;781-64-2192-115-6;Uczta dla wron – Cienie śmierci;2020-08-21;;2017;true;17;2;3;1;
90;63-4913-359-4;927-63-4913-359-4;Miasteczko Salem;2020-08-21;;2017;true;6;6;1;1;
91;62-9578-580-8;483-62-9578-580-8;Władca Pierścieni: Drużyna Pierścienia;2020-08-22;;2017;false;4;2;2;1;
92;62-9189-393-6;779-62-9189-393-6;Śmierć na Nilu;2020-08-22;;2017;true;5;3;3;1;
93;62-9022-424-6;491-62-9022-424-6;Droga na molo w Wigan;2020-08-22;;2017;true;13;8;2;1;
94;61-7597-741-3;445-61-7597-741-3;Mroczna Wieża III: Ziemie jałowe;2020-08-24;;2017;false;6;6;3;1;
95;61-3352-437-9;153-61-3352-437-9;Czas zmierzchu;2020-08-25;;2017;true;21;7;1;1;
96;61-2823-324-9;543-61-2823-324-9;Harry Potter i Zakon Feniksa;2020-08-26;;2017;false;1;2;4;1;
97;60-8691-632-3;585-60-8691-632-3;Zwiadowcy: Cesarz Nihon-Ja;2020-08-27;;2017;true;20;2;1;1;
98;60-7153-812-2;337-60-7153-812-2;Nowy wspaniały świat;2020-08-29;;2014;true;9;7;3;1;
99;60-1695-248-9;945-60-1695-248-9;Wieża Jaskółki;2020-08-31;;2014;true;3;2;4;1;
100;59-5101-698-3;501-59-5101-698-3;Władca Pierścieni: Dwie Wieże;2020-09-01;;2014;true;4;2;4;1;
101;59-4374-155-2;172-59-4374-155-2;Harry Potter i Więzień Azkabanu;2020-09-02;;2014;false;1;2;2;1;
102;59-1343-173-6;734-59-1343-173-6;Wieża Jaskółki;2020-09-02;;2014;true;3;2;4;1;
103;58-9588-572-4;453-58-9588-572-4;Głupcy umierają;2020-09-08;;2017;true;16;8;3;1;
104;58-2900-833-2;494-58-2900-833-2;Zwiadowcy: Oblężenie Macindaw;2020-09-08;;2017;true;20;2;4;1;
105;57-9449-335-5;168-57-9449-335-5;Rok 1984;2020-09-08;;2014;true;13;9;3;1;
106;57-7476-921-4;868-57-7476-921-4;Zagadka Błękitnego Ekspresu;2020-09-09;;2017;true;5;3;4;1;
107;57-4309-401-6;233-57-4309-401-6;Futu.re;2020-09-10;;2017;false;21;7;2;1;
108;57-2756-818-6;910-57-2756-818-6;Pan Lodowego Ogrodu - tom IV;2020-09-10;;2017;true;7;2;3;1;
109;56-8536-604-6;992-56-8536-604-6;Znak czterech;2020-09-13;;2015;true;2;1;4;1;
110;56-7754-509-2;907-56-7754-509-2;Hobbit, czyli tam i z powrotem;2020-09-14;;2015;true;4;2;2;1;
111;56-7098-146-1;490-56-7098-146-1;Pani Jeziora;2020-09-16;;2015;true;3;2;4;1;
112;56-4972-365-7;161-56-4972-365-7;Klan Czerwonego Lisa;2020-09-17;;2013;true;20;2;2;1;
113;56-2293-771-9;524-56-2293-771-9;Władca Pierścieni: Dwie Wieże;2020-09-18;;2013;false;4;2;2;1;
114;56-1692-812-7;419-56-1692-812-7;Konfederaci barscy;2020-09-20;;2015;true;18;11;4;1;
115;56-1242-363-9;323-56-1242-363-9;Harry Potter i Kamień Filozoficzny;2020-09-20;;2015;true;1;2;3;1;
116;55-9960-577-1;758-55-9960-577-1;Harry Potter i Czara Ognia;2020-09-20;;2013;true;1;2;1;1;
117;55-8585-965-7;282-55-8585-965-7;Nowy wspaniały świat;2020-09-23;;2013;true;9;7;3;1;
118;55-6502-130-3;294-55-6502-130-3;Mroczna Wieża I: Roland;2020-09-23;;2015;true;6;6;2;1;
119;55-5755-418-6;534-55-5755-418-6;Dwanaście prac Herkulesa;2020-09-26;;2013;true;5;3;1;1;
120;55-5307-110-5;113-55-5307-110-5;Miasteczko Salem;2020-09-29;;2013;false;6;6;3;1;
121;55-4581-808-1;761-55-4581-808-1;Studium w szkarłacie;2020-10-03;;2013;true;2;1;3;1;
122;54-9399-574-9;354-54-9399-574-9;Gra o Tron;2020-10-04;;2013;false;17;2;1;1;
123;54-2645-266-2;240-54-2645-266-2;Gra o Tron;2020-10-05;;2013;true;17;2;3;1;
124;53-1611-389-4;264-53-1611-389-4;Dziady cz. IV;2020-10-06;;2013;true;18;11;4;1;
125;52-9268-810-1;508-52-9268-810-1;Dwanaście prac Herkulesa;2020-10-07;;2015;true;5;3;2;1;
126;52-7329-813-4;392-52-7329-813-4;Pies Baskerville'ów;2020-10-07;;2015;true;2;1;3;1;
127;52-7075-956-1;116-52-7075-956-1;Dom zbrodni;2020-10-07;;2015;true;5;3;1;1;
128;51-1128-122-3;366-51-1128-122-3;Władca Pierścieni: Powrót Króla;2020-10-08;;2013;true;4;2;4;1;
129;51-1026-553-9;419-51-1026-553-9;Czas pogardy;2020-10-08;;2015;true;3;2;4;1;
130;50-9017-339-9;696-50-9017-339-9;Czas zmierzchu;2020-10-11;;2013;true;21;7;1;1;
131;50-6015-190-1;183-50-6015-190-1;Harry Potter i Zakon Feniksa;2020-10-12;;2015;true;1;2;3;1;
132;49-9118-294-3;984-49-9118-294-3;Harry Potter i Insygnia Śmierci;2020-10-12;;2013;false;1;2;3;1;
133;49-6636-755-5;389-49-6636-755-5;Strzeż się starych książek;2020-10-13;;2015;true;14;10;3;1;
134;48-2457-444-8;473-48-2457-444-8;Czarna Kawa;2020-10-13;;2015;true;5;3;2;1;
135;47-9511-183-5;868-47-9511-183-5;Lśnienie;2020-10-14;;2018;true;6;6;1;1;
136;47-7686-771-3;968-47-7686-771-3;Sycylijczyk;2020-10-14;;2018;true;16;8;3;1;
137;46-6374-417-1;607-46-6374-417-1;Rodzina Borgiów;2020-10-14;;2018;true;16;8;3;1;
138;45-8314-795-1;552-45-8314-795-1;Czarna Kawa;2020-10-15;;2018;false;5;3;2;1;
139;45-7419-225-2;921-45-7419-225-2;Nawałnica mieczy – Stal i śnieg;2020-10-18;;2018;true;17;2;3;1;
140;45-3709-221-7;267-45-3709-221-7;Pan Lodowego Ogrodu - tom V;2020-10-20;;2018;true;7;2;3;1;
141;44-3919-604-9;166-44-3919-604-9;Sycylijczyk;2020-10-22;;2018;true;16;8;2;1;
142;43-9725-376-9;271-43-9725-376-9;Czwarty K;2020-10-22;;2018;true;16;8;1;1;
143;42-7325-520-1;199-42-7325-520-1;Metro 2034;2020-10-24;;2015;true;21;7;1;1;
144;42-2382-613-7;195-42-2382-613-7;Zwiadowcy: Pojedynek w Araluenie;2020-10-25;;2015;true;20;2;2;1;
145;41-9088-275-9;862-41-9088-275-9;Czwarty K;2020-10-25;;2015;true;16;8;1;1;
146;41-1573-722-5;232-41-1573-722-5;Nawałnica mieczy – Stal i śnieg;2020-10-26;;2015;true;17;2;2;1;
147;40-8523-478-4;936-40-8523-478-4;Pan Lodowego Ogrodu - tom II;2020-10-27;;2015;false;7;2;4;1;
148;40-6298-508-6;601-40-6298-508-6;Zwiadowcy: Królowie Clonmelu;2020-10-27;;2015;true;20;2;3;1;
149;40-5542-702-8;690-40-5542-702-8;Dziady cz. II;2020-10-28;;2009;true;18;11;3;1;
150;39-6979-902-9;356-39-6979-902-9;Taniec ze smokami – tom II;2020-10-28;;2009;true;17;2;1;1;
151;39-1302-643-6;644-39-1302-643-6;Droga na molo w Wigan;2020-10-28;;2009;false;13;8;1;1;
152;38-2454-257-3;101-38-2454-257-3;Cztery pory roku;2020-10-30;;2009;true;6;6;2;1;
153;38-1212-598-3;499-38-1212-598-3;Gra o Tron;2020-10-31;;2015;true;17;2;3;1;
154;37-8645-946-7;596-37-8645-946-7;Odyseja;2020-11-01;;2015;true;19;12;3;1;
155;37-7704-553-7;519-37-7704-553-7;Mroczna Wieża III: Ziemie jałowe;2020-11-02;;2015;true;6;6;2;1;
156;37-6263-268-2;683-37-6263-268-2;Pies Baskerville'ów;2020-11-04;;2015;true;2;1;4;1;
157;37-2188-160-6;160-37-2188-160-6;Folwark zwierzęcy;2020-11-06;;2009;true;13;8;2;1;
158;36-6864-551-1;929-36-6864-551-1;Metro 2034;2020-11-07;;2009;false;21;7;2;1;
159;36-6704-926-7;605-36-6704-926-7;Ojciec chrzestny;2020-11-07;;2009;true;16;8;4;1;
160;36-4572-833-4;831-36-4572-833-4;Zwiadowcy: Bitwa o Skandię;2020-11-08;;2009;true;20;2;4;1;
161;36-1830-126-7;652-36-1830-126-7;Krew elfów;2020-11-08;;2009;true;3;2;3;1;
162;34-9092-672-9;434-34-9092-672-9;Władca Pierścieni: Drużyna Pierścienia;2020-11-09;;2009;true;4;2;1;1;
163;34-7434-349-9;226-34-7434-349-9;Cztery pory roku;2020-11-09;;2009;true;6;6;2;1;
164;34-6548-475-9;198-34-6548-475-9;Buszujący w zbożu;2020-11-09;;2009;true;8;8;1;1;
165;34-1823-279-9;880-34-1823-279-9;Pan Lodowego Ogrodu - tom III;2020-11-10;;2009;false;7;2;1;1;
166;33-2989-124-7;982-33-2989-124-7;Zwiadowcy: Oblężenie Macindaw;2020-11-12;;2015;true;20;2;1;1;
167;32-8779-355-6;461-32-8779-355-6;Zwiadowcy: Królewski Zwiadowca;2020-11-13;;2015;true;20;2;2;1;
168;32-7029-861-9;983-32-7029-861-9;Zabójstwo Rogera Ackroyda;2020-11-14;;2016;true;5;3;3;1;
169;31-2143-468-5;997-31-2143-468-5;Dopóki starczy świata;2020-11-14;;2015;true;5;3;1;1;
170;30-7893-678-5;521-30-7893-678-5;Metro 2035;2020-11-14;;2015;true;21;7;4;1;
171;30-6147-121-5;594-30-6147-121-5;Lśnienie;2020-11-23;;2016;true;6;6;4;1;
172;30-3075-789-3;573-30-3075-789-3;Czwarta po północy;2020-11-23;;2016;true;6;6;2;1;
173;29-9340-563-7;133-29-9340-563-7;Harry Potter i Komnata Tajemnic;2020-11-25;;2016;false;1;2;4;1;
174;29-9212-224-4;293-29-9212-224-4;Stracie Królów;2020-11-26;;2010;true;17;2;2;1;
175;29-1771-101-9;346-29-1771-101-9;Harry Potter i Więzień Azkabanu;2020-11-26;;2010;false;1;2;4;1;
176;29-1084-309-8;357-29-1084-309-8;451 stopni Fahrenheita;2020-11-26;;2014;true;10;8;1;1;
177;27-5229-152-6;637-27-5229-152-6;Pani Jeziora;2020-11-26;;2016;true;3;2;4;1;
178;25-5312-302-5;714-25-5312-302-5;Zwiadowcy: Oblężenie Macindaw;2020-11-27;;2014;false;20;2;4;1;
179;25-4621-651-2;123-25-4621-651-2;Pan Lodowego Ogrodu - tom V;2020-11-27;;2014;true;7;2;3;1;
180;25-1138-498-1;728-25-1138-498-1;Metro 2035;2020-12-01;;2014;true;21;7;3;1;
181;24-4007-796-4;874-24-4007-796-4;Pan Lodowego Ogrodu - tom I;2020-12-03;;2014;true;7;2;1;1;
182;24-1071-161-8;766-24-1071-161-8;Folwark zwierzęcy;2020-12-04;;2002;true;13;8;4;1;
183;23-7519-607-7;173-23-7519-607-7;W hołdzie Katalonii;2020-12-05;;2002;true;13;8;4;1;
184;23-3824-734-5;765-23-3824-734-5;Władca Pierścieni: Powrót Króla;2020-12-07;;2002;true;4;2;4;1;
185;21-6205-175-5;772-21-6205-175-5;Jego ostatni ukłon;2020-12-09;;2002;true;2;1;1;1;
186;21-3928-320-7;624-21-3928-320-7;Złodziejka książek;2020-12-15;;2016;true;12;8;1;1;
187;21-3210-644-8;939-21-3210-644-8;Księga przypadków Sherlocka Holmesa;2020-12-18;;2002;false;2;1;3;1;
188;21-2152-731-5;394-21-2152-731-5;Uczta dla wron – Sieć spisków;2020-12-18;;2002;false;17;2;2;1;
189;20-9714-382-3;336-20-9714-382-3;Rok 1984;2020-12-19;;2002;true;13;9;1;1;
190;20-9658-689-1;795-20-9658-689-1;Dopóki starczy świata;2020-12-20;;2014;true;5;3;2;1;
191;20-6585-791-3;590-20-6585-791-3;Morderstwo w Orient Expressie;2020-12-21;;2014;false;5;3;3;1;
192;20-3689-851-2;993-20-3689-851-2;Taniec ze smokami – tom I;2020-12-23;;2014;true;17;2;2;1;
193;20-1990-955-5;120-20-1990-955-5;Harry Potter i Książę Półkrwi;2020-12-24;;2014;true;1;2;4;1;
194;19-8566-499-3;309-19-8566-499-3;Krew elfów;2020-12-24;;2014;true;3;2;3;1;
195;19-8398-998-7;209-19-8398-998-7;Głupcy umierają;2020-12-24;;2014;true;16;8;2;1;
196;18-4575-414-9;499-18-4575-414-9;Zwiadowcy: Okup za Eraka;2020-12-26;;2002;true;20;2;2;1;
197;17-9933-450-8;993-17-9933-450-8;Harry Potter i Komnata Tajemnic;2020-12-26;;2014;true;1;2;3;1;
198;17-5795-794-2;460-17-5795-794-2;Zwiadowcy: Pojedynek w Araluenie;2020-12-28;;2002;true;20;2;3;1;
199;17-2990-286-2;267-17-2990-286-2;Nawałnica mieczy – Krew i złoto;2020-12-29;;2002;true;17;2;3;1;
200;16-8941-693-6;697-16-8941-693-6;Bastion;2020-12-30;;2002;true;6;6;4;1;
201;16-5817-728-2;969-16-5817-728-2;Harry Potter i Komnata Tajemnic;2020-12-30;;2017;true;1;2;2;1;
202;15-9857-730-2;845-15-9857-730-2;Rodzina Borgiów;2020-12-30;;2017;true;16;8;2;1;
203;15-8915-899-3;429-15-8915-899-3;Chrzest ognia;2021-01-02;;2014;false;3;2;4;1;
204;15-7949-976-8;636-15-7949-976-8;Harry Potter i Więzień Azkabanu;2021-01-03;;2014;true;1;2;3;1;
205;14-4578-986-4;367-14-4578-986-4;Brak tchu;2021-01-06;;2019;true;13;8;3;1;
206;14-4257-409-2;676-14-4257-409-2;Smętarz dla zwierzaków;2021-01-09;;2014;true;6;6;1;1;
207;14-2557-354-1;153-14-2557-354-1;Zagadka Błękitnego Ekspresu;2021-01-12;;2017;true;5;3;4;1;
208;13-5838-980-1;662-13-5838-980-1;Pan Lodowego Ogrodu - tom V;2021-01-13;;2014;true;7;2;1;1;
209;13-1643-784-2;344-13-1643-784-2;Pan Lodowego Ogrodu - tom I;2021-01-13;;2017;false;7;2;1;1;
210;12-7038-564-3;470-12-7038-564-3;Znak czterech;2021-01-14;;2014;true;2;1;1;1;
211;12-1978-467-4;546-12-1978-467-4;Zwiadowcy: Ruiny Gorlanu;2021-01-17;;2017;true;20;2;1;1;
212;12-1721-314-4;374-12-1721-314-4;Dziady cz. IV;2021-01-18;;2017;true;18;11;1;1;
213;11-7992-118-2;274-11-7992-118-2;Przygody Sherlocka Holmesa;2021-01-20;;2002;false;2;1;2;1;
214;11-6920-424-7;430-11-6920-424-7;Zwiadowcy: Królewski Zwiadowca;2021-01-20;;2014;true;20;2;3;1;
215;11-6608-757-2;805-11-6608-757-2;Zwiadowcy: Zaginione historie;2021-01-21;;2017;true;20;2;4;1;
216;11-6514-764-8;696-11-6514-764-8;Pan Lodowego Ogrodu - tom IV;2021-01-21;;2002;true;7;2;4;1;
217;11-2109-225-3;576-11-2109-225-3;Nędznicy;2021-01-21;;2002;true;15;8;2;1;
218;11-1265-905-5;800-11-1265-905-5;Harry Potter i Książę Półkrwi;2021-01-24;;2017;true;1;2;2;1;
219;10-7623-174-9;236-10-7623-174-9;Czas zmierzchu;2021-01-29;;2017;true;21;7;4;1;
220;10-4049-569-2;348-10-4049-569-2;Studium w szkarłacie;2021-01-30;;2017;false;2;1;3;1;
221;10-2696-100-9;942-10-2696-100-9;Harry Potter i Zakon Feniksa;2021-01-30;;2017;true;1;2;4;1;
222;10-1891-780-7;141-10-1891-780-7;Zwiadowcy: Okup za Eraka;2021-01-31;;2017;true;20;2;3;1;
223;12-1973-467-4;920-12-1973-467-4;Światło się mroczy;2021-02-26;Wezwany przez Gwen, swą dawną ukochaną, Dirk t’Larien przekonuje się, że świat Worlorn, chluba światów zewnętrznych, bardzo się zmienił i jest teraz umierającą planetą. Worlorn podejmuje samotną wędrówkę przez mrok międzygwiezdnych otchłani.;2017;true;17;7;2;1;
224;61-6736-840-5;667-61-6736-840-5;Odrodzone Królestwo - Korona śniegu i krwi;2021-02-28;Ta książka z początku miała być sensacyjną opowieścią, która rozgrywa się na niezbyt uczęszczanym zakręcie historii. Mało znany król, trudny do ogarnięcia czas, zawieruchy rozbicia dzielnicowego.;2012;true;22;13;5;1;
225;12-1973-467-6;920-12-1973-467-6;Odrodzone Królestwo - Korona śniegu i krwi;2021-02-28;Ta książka z początku miała być sensacyjną opowieścią, która rozgrywa się na niezbyt uczęszczanym zakręcie historii. Mało znany król, trudny do ogarnięcia czas, zawieruchy rozbicia dzielnicowego.;2012;false;22;13;5;1;
226;12-1973-467-2;920-12-1973-467-2;Odrodzone Królestwo - Niewidzialna Korona;2021-02-27;Niewidzialna korona jest częścią cyklu Odrodzone Królestwo, ale jednocześnie to powieść odrębna. Kto nie czytał Korony śniegu i krwi, niech się nie lęka. Przygodę z Królestwem wychodzącym z klątwy Wielkiego Rozbicia można zacząć od dowolnego momentu. Niewidzialna jest samodzielną opowieścią.;2014;false;22;13;5;1;
227;13-2240-133-1;009-13-2240-133-1;Odrodzone Królestwo - Płomienna korona;2021-02-28;Można opowiedzieć historię Władysława Łokietka i odradzania się Królestwa tylko z jednego punktu widzenia, ale to przesłania nam całą złożoność procesu zjednoczeniowego;2017;false;22;13;5;1;
